Register,UE.Id,Latency,RRU.PrbTotDl,RRU.PrbTotUl,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,Unnamed: 10,source_file,sheet_name,Iteration,Total time (sec),Time (sec),Bandwidth (kbps),Iperf bw (kbps)
1.0,1.0,1742549397862580.0,87.0,6048.0,3.0,1185.0,3.89,0.0,1206.49,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
2.0,1.0,1742549398862360.0,157.0,7605.0,8.0,1569.0,9.18,0.0,1574.66,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
3.0,1.0,1742549399862440.0,79.0,5539.0,1.0,901.0,2.21,785.0,913.49,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
4.0,1.0,1742549400862420.0,223.0,3748.0,6.0,326.0,7.65,0.0,332.1,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
5.0,1.0,1742549401862410.0,154.0,2182.0,8.0,152.0,9.26,0.0,156.16,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
6.0,1.0,1742549402862570.0,131.0,1724.0,7.0,93.0,8.99,828.0,98.25,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
7.0,1.0,1742549403862410.0,160.0,3751.0,0.0,331.0,1.63,304.0,334.86,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
8.0,1.0,1742549404862410.0,180.0,3417.0,7.0,281.0,8.54,0.0,286.4,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
9.0,1.0,1742549405862330.0,170.0,2682.0,8.0,199.0,9.38,0.0,205.87,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
10.0,1.0,1742549406862460.0,160.0,2307.0,8.0,164.0,9.31,1260.5,166.29,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
11.0,1.0,1742549407862350.0,185.0,4690.0,0.0,425.0,1.34,350.0,432.84,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
12.0,1.0,1742549408862430.0,115.0,3970.0,7.0,564.0,8.57,0.0,576.58,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
13.0,1.0,1742549409862350.0,125.0,3775.0,7.0,553.0,9.01,0.0,567.57,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
14.0,1.0,1742549410862210.0,127.0,3985.0,7.0,600.0,8.7,435.75,604.28,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
15.0,1.0,1742549411862360.0,55.0,5292.0,0.0,815.0,0.72,0.0,831.42,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
16.0,1.0,1742549412862420.0,118.0,5474.0,8.0,872.0,9.15,0.0,886.21,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
17.0,1.0,1742549413862340.0,133.0,5415.0,8.0,860.0,9.62,0.0,870.43,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
18.0,1.0,1742549414862310.0,145.0,6202.0,6.0,976.0,7.1,714.0,985.02,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
19.0,1.0,1742549415862520.0,80.0,5978.0,1.0,982.0,2.5,0.0,1005.73,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
20.0,1.0,1742549416862310.0,125.0,4775.0,8.0,743.0,9.1,0.0,755.46,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
21.0,1.0,1742549417862380.0,136.0,4809.0,8.0,742.0,9.2,0.0,742.25,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
22.0,1.0,1742549418862450.0,85.0,5616.0,1.0,912.0,2.26,202.0,925.5,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
23.0,1.0,1742549419862340.0,146.0,5297.0,6.0,821.0,7.26,0.0,840.7,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
24.0,1.0,1742549420862460.0,150.0,4691.0,8.0,731.0,9.24,0.0,736.22,,20250321_11.17.57_KPM_vs_iper3_1000ms_05_weeks.xlsx,KPM Metrics,,,,,
