scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
76,BEAM_FAILURE,Cell-7,2025-01-02T06:18:00Z,34.4,0.19,0.91,9,55,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost",Adjusted beam failure recovery threshold from 3 to 1. Recovery: beam alignment restored from 58% to 90% within 273s.
77,BEAM_FAILURE,Cell-36,2025-08-16T22:08:00Z,54.7,0.25,0.95,23,56,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost","Triggered beam failure recovery threshold optimization. Fault resolved, beam alignment normalized in 134s."
78,BEAM_FAILURE,Cell-29,2025-02-19T05:03:00Z,57.6,0.24,0.94,17,82,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost",Applied beam failure recovery threshold reconfiguration. beam alignment improved from 58% to 90% in 147s.
79,BEAM_FAILURE,Cell-41,2025-09-25T01:09:00Z,52.4,0.38,0.72,12,35,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost",Adjusted beam failure recovery threshold from 3 to 1. Recovery: beam alignment restored from 58% to 90% within 235s.
80,BEAM_FAILURE,Cell-27,2025-10-14T19:50:00Z,29.0,0.26,0.83,19,58,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost","Triggered beam failure recovery threshold optimization. Fault resolved, beam alignment normalized in 215s."
81,BEAM_FAILURE,Cell-20,2025-05-22T19:03:00Z,58.4,0.13,0.92,25,47,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost","Triggered beam failure recovery threshold optimization. Fault resolved, beam alignment normalized in 205s."
82,BEAM_FAILURE,Cell-6,2025-05-02T07:11:00Z,23.0,0.1,0.83,24,80,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost","Triggered beam failure recovery threshold optimization. Fault resolved, beam alignment normalized in 100s."
83,BEAM_FAILURE,Cell-15,2025-11-19T22:18:00Z,54.4,0.12,0.77,13,120,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost","Triggered beam failure recovery threshold optimization. Fault resolved, beam alignment normalized in 133s."
84,BEAM_FAILURE,Cell-43,2025-01-06T06:27:00Z,41.8,0.29,0.96,9,29,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost",Adjusted beam failure recovery threshold from 3 to 1. Recovery: beam alignment restored from 58% to 90% within 265s.
85,BEAM_FAILURE,Cell-20,2025-07-09T23:52:00Z,56.8,0.23,0.84,14,109,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost","Triggered beam failure recovery threshold optimization. Fault resolved, beam alignment normalized in 212s."
86,BEAM_FAILURE,Cell-33,2025-01-03T15:28:00Z,43.9,0.37,0.91,24,52,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost",Adjusted beam failure recovery threshold from 3 to 1. Recovery: beam alignment restored from 58% to 90% within 198s.
87,BEAM_FAILURE,Cell-15,2025-03-16T18:37:00Z,60.0,0.3,0.78,6,117,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost",Adjusted beam failure recovery threshold from 3 to 1. Recovery: beam alignment restored from 58% to 90% within 232s.
88,BEAM_FAILURE,Cell-34,2025-08-12T14:58:00Z,27.3,0.28,0.88,20,31,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost",Applied beam failure recovery threshold reconfiguration. beam alignment improved from 58% to 90% in 226s.
89,BEAM_FAILURE,Cell-27,2025-07-27T10:42:00Z,54.3,0.2,0.9,14,104,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost",Adjusted beam failure recovery threshold from 3 to 1. Recovery: beam alignment restored from 58% to 90% within 145s.
90,BEAM_FAILURE,Cell-49,2025-01-22T01:29:00Z,32.6,0.2,0.98,17,85,"BEAM_FAILURE: Beam failure recovery triggered, UE-gNB alignment lost",Adjusted beam failure recovery threshold from 3 to 1. Recovery: beam alignment restored from 58% to 90% within 200s.
