scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
136,CAPACITY_OVERFLOW,Cell-14,2025-02-02T13:29:00Z,26.3,0.19,0.79,23,96,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Applied admission control threshold reconfiguration. new UE acceptance improved from 30% to 85% in 156s.
137,CAPACITY_OVERFLOW,Cell-10,2025-07-09T19:03:00Z,23.3,0.23,0.82,24,76,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked","Triggered admission control threshold optimization. Fault resolved, new UE acceptance normalized in 100s."
138,CAPACITY_OVERFLOW,Cell-14,2025-11-10T16:07:00Z,37.2,0.18,0.9,20,87,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Applied admission control threshold reconfiguration. new UE acceptance improved from 30% to 85% in 253s.
139,CAPACITY_OVERFLOW,Cell-3,2025-05-10T12:38:00Z,20.3,0.19,0.76,9,117,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Adjusted admission control threshold from 95% to 85%. Recovery: new UE acceptance restored from 30% to 85% within 116s.
140,CAPACITY_OVERFLOW,Cell-21,2025-09-27T00:31:00Z,37.2,0.14,0.85,12,84,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked","Triggered admission control threshold optimization. Fault resolved, new UE acceptance normalized in 90s."
141,CAPACITY_OVERFLOW,Cell-43,2025-10-14T11:04:00Z,54.5,0.11,0.71,7,60,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Applied admission control threshold reconfiguration. new UE acceptance improved from 30% to 85% in 266s.
142,CAPACITY_OVERFLOW,Cell-37,2025-08-27T22:40:00Z,31.6,0.22,0.98,10,99,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Applied admission control threshold reconfiguration. new UE acceptance improved from 30% to 85% in 163s.
143,CAPACITY_OVERFLOW,Cell-45,2025-07-28T11:05:00Z,53.8,0.17,0.87,21,30,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Applied admission control threshold reconfiguration. new UE acceptance improved from 30% to 85% in 295s.
144,CAPACITY_OVERFLOW,Cell-20,2025-04-25T10:14:00Z,51.2,0.12,0.88,21,85,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Applied admission control threshold reconfiguration. new UE acceptance improved from 30% to 85% in 250s.
145,CAPACITY_OVERFLOW,Cell-23,2025-10-05T23:52:00Z,52.6,0.17,0.74,11,42,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked","Triggered admission control threshold optimization. Fault resolved, new UE acceptance normalized in 149s."
146,CAPACITY_OVERFLOW,Cell-49,2025-10-15T20:04:00Z,58.1,0.29,0.83,23,117,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Adjusted admission control threshold from 95% to 85%. Recovery: new UE acceptance restored from 30% to 85% within 254s.
147,CAPACITY_OVERFLOW,Cell-44,2025-08-03T18:41:00Z,59.5,0.2,0.98,15,39,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked","Triggered admission control threshold optimization. Fault resolved, new UE acceptance normalized in 296s."
148,CAPACITY_OVERFLOW,Cell-31,2025-01-02T20:19:00Z,43.7,0.21,0.72,19,77,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Applied admission control threshold reconfiguration. new UE acceptance improved from 30% to 85% in 173s.
149,CAPACITY_OVERFLOW,Cell-24,2025-08-19T09:04:00Z,54.6,0.36,0.88,21,69,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked","Triggered admission control threshold optimization. Fault resolved, new UE acceptance normalized in 272s."
150,CAPACITY_OVERFLOW,Cell-36,2025-08-17T23:57:00Z,38.0,0.34,0.89,15,97,"CAPACITY_OVERFLOW: Cell capacity limit reached, new UE admission blocked",Adjusted admission control threshold from 95% to 85%. Recovery: new UE acceptance restored from 30% to 85% within 262s.
