scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
16,CONGESTION,Cell-32,2025-10-03T03:59:00Z,55.1,0.35,0.79,6,50,"CONGESTION: PRB utilization exceeded 90%, throughput degraded",Applied PRB reservation limit reconfiguration. throughput improved from 40% to 88% in 64s.
17,CONGESTION,Cell-6,2025-09-06T15:52:00Z,59.1,0.26,0.74,26,80,"CONGESTION: PRB utilization exceeded 90%, throughput degraded",Adjusted PRB reservation limit from 95% to 80%. Recovery: throughput restored from 40% to 88% within 247s.
18,CONGESTION,Cell-17,2025-07-22T19:27:00Z,57.2,0.33,0.9,27,59,"CONGESTION: PRB utilization exceeded 90%, throughput degraded",Adjusted PRB reservation limit from 95% to 80%. Recovery: throughput restored from 40% to 88% within 195s.
19,CONGESTION,Cell-42,2025-09-08T14:57:00Z,38.1,0.17,0.72,5,95,"CONGESTION: PRB utilization exceeded 90%, throughput degraded","Triggered PRB reservation limit optimization. Fault resolved, throughput normalized in 155s."
20,CONGESTION,Cell-38,2025-09-08T00:04:00Z,45.2,0.17,0.96,15,29,"CONGESTION: PRB utilization exceeded 90%, throughput degraded","Triggered PRB reservation limit optimization. Fault resolved, throughput normalized in 116s."
21,CONGESTION,Cell-18,2025-08-26T15:13:00Z,25.3,0.38,0.87,20,51,"CONGESTION: PRB utilization exceeded 90%, throughput degraded","Triggered PRB reservation limit optimization. Fault resolved, throughput normalized in 231s."
22,CONGESTION,Cell-27,2025-11-21T03:06:00Z,37.2,0.23,0.84,28,26,"CONGESTION: PRB utilization exceeded 90%, throughput degraded","Triggered PRB reservation limit optimization. Fault resolved, throughput normalized in 108s."
23,CONGESTION,Cell-42,2025-08-05T01:25:00Z,33.6,0.36,0.77,11,88,"CONGESTION: PRB utilization exceeded 90%, throughput degraded","Triggered PRB reservation limit optimization. Fault resolved, throughput normalized in 85s."
24,CONGESTION,Cell-28,2025-01-21T08:29:00Z,55.0,0.12,0.93,22,32,"CONGESTION: PRB utilization exceeded 90%, throughput degraded",Adjusted PRB reservation limit from 95% to 80%. Recovery: throughput restored from 40% to 88% within 106s.
25,CONGESTION,Cell-35,2025-03-13T00:05:00Z,26.7,0.25,0.76,17,27,"CONGESTION: PRB utilization exceeded 90%, throughput degraded",Adjusted PRB reservation limit from 95% to 80%. Recovery: throughput restored from 40% to 88% within 274s.
26,CONGESTION,Cell-1,2025-11-23T08:59:00Z,31.4,0.31,0.91,30,91,"CONGESTION: PRB utilization exceeded 90%, throughput degraded",Applied PRB reservation limit reconfiguration. throughput improved from 40% to 88% in 159s.
27,CONGESTION,Cell-32,2025-01-02T06:18:00Z,58.7,0.27,0.86,28,60,"CONGESTION: PRB utilization exceeded 90%, throughput degraded",Adjusted PRB reservation limit from 95% to 80%. Recovery: throughput restored from 40% to 88% within 99s.
28,CONGESTION,Cell-38,2025-10-03T16:58:00Z,26.3,0.39,0.72,10,28,"CONGESTION: PRB utilization exceeded 90%, throughput degraded","Triggered PRB reservation limit optimization. Fault resolved, throughput normalized in 182s."
29,CONGESTION,Cell-44,2025-02-14T07:25:00Z,57.7,0.27,0.87,6,99,"CONGESTION: PRB utilization exceeded 90%, throughput degraded",Adjusted PRB reservation limit from 95% to 80%. Recovery: throughput restored from 40% to 88% within 280s.
30,CONGESTION,Cell-43,2025-07-05T18:33:00Z,57.4,0.16,0.91,12,53,"CONGESTION: PRB utilization exceeded 90%, throughput degraded",Applied PRB reservation limit reconfiguration. throughput improved from 40% to 88% in 209s.
