scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
1,HO_FAILURE,Cell-41,2025-02-19T00:47:00Z,29.8,0.14,0.73,28,89,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Applied A3 offset reconfiguration. HO success rate improved from 72% to 96% in 88s.
2,HO_FAILURE,Cell-28,2025-12-18T00:05:00Z,29.3,0.28,0.86,27,103,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Adjusted A3 offset from -3dB to -1dB. Recovery: HO success rate restored from 72% to 96% within 68s.
3,HO_FAILURE,Cell-27,2025-06-09T14:37:00Z,52.4,0.1,0.93,27,74,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Applied A3 offset reconfiguration. HO success rate improved from 72% to 96% in 116s.
4,HO_FAILURE,Cell-10,2025-12-15T10:06:00Z,35.2,0.21,0.8,13,25,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Adjusted A3 offset from -3dB to -1dB. Recovery: HO success rate restored from 72% to 96% within 115s.
5,HO_FAILURE,Cell-35,2025-04-23T12:05:00Z,31.7,0.29,0.96,16,93,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased","Triggered A3 offset optimization. Fault resolved, HO success rate normalized in 91s."
6,HO_FAILURE,Cell-5,2025-08-21T21:14:00Z,59.4,0.36,0.95,17,55,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Applied A3 offset reconfiguration. HO success rate improved from 72% to 96% in 71s.
7,HO_FAILURE,Cell-24,2025-11-06T11:22:00Z,46.8,0.31,0.9,7,97,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Adjusted A3 offset from -3dB to -1dB. Recovery: HO success rate restored from 72% to 96% within 101s.
8,HO_FAILURE,Cell-35,2025-11-11T07:10:00Z,35.2,0.4,0.89,22,48,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Applied A3 offset reconfiguration. HO success rate improved from 72% to 96% in 246s.
9,HO_FAILURE,Cell-50,2025-06-07T01:14:00Z,52.2,0.22,0.72,23,111,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Adjusted A3 offset from -3dB to -1dB. Recovery: HO success rate restored from 72% to 96% within 258s.
10,HO_FAILURE,Cell-42,2025-05-24T12:56:00Z,38.4,0.18,0.77,22,88,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased","Triggered A3 offset optimization. Fault resolved, HO success rate normalized in 187s."
11,HO_FAILURE,Cell-38,2025-01-28T18:25:00Z,28.8,0.4,0.85,7,116,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Applied A3 offset reconfiguration. HO success rate improved from 72% to 96% in 169s.
12,HO_FAILURE,Cell-8,2025-05-18T20:10:00Z,36.9,0.12,0.81,19,87,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased","Triggered A3 offset optimization. Fault resolved, HO success rate normalized in 99s."
13,HO_FAILURE,Cell-1,2025-05-14T23:07:00Z,55.4,0.33,0.92,15,34,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased","Triggered A3 offset optimization. Fault resolved, HO success rate normalized in 234s."
14,HO_FAILURE,Cell-11,2025-05-27T00:46:00Z,30.5,0.25,0.75,8,100,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased","Triggered A3 offset optimization. Fault resolved, HO success rate normalized in 176s."
15,HO_FAILURE,Cell-41,2025-10-11T19:12:00Z,35.0,0.15,0.98,21,20,"HO_FAILURE: A3 offset too aggressive, handover failure rate increased",Adjusted A3 offset from -3dB to -1dB. Recovery: HO success rate restored from 72% to 96% within 189s.
