scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
46,INTERFERENCE,Cell-20,2025-11-24T13:20:00Z,47.9,0.27,0.76,26,68,"INTERFERENCE: High interference from neighboring cell, SINR dropped",Applied inter-cell PCI offset reconfiguration. SINR improved from 55% to 87% in 230s.
47,INTERFERENCE,Cell-12,2025-10-20T18:19:00Z,41.9,0.1,0.78,18,120,"INTERFERENCE: High interference from neighboring cell, SINR dropped",Applied inter-cell PCI offset reconfiguration. SINR improved from 55% to 87% in 217s.
48,INTERFERENCE,Cell-42,2025-03-22T14:28:00Z,47.0,0.25,0.93,30,114,"INTERFERENCE: High interference from neighboring cell, SINR dropped",Applied inter-cell PCI offset reconfiguration. SINR improved from 55% to 87% in 142s.
49,INTERFERENCE,Cell-6,2025-05-08T16:42:00Z,44.8,0.13,0.98,12,106,"INTERFERENCE: High interference from neighboring cell, SINR dropped","Triggered inter-cell PCI offset optimization. Fault resolved, SINR normalized in 132s."
50,INTERFERENCE,Cell-13,2025-11-19T00:02:00Z,59.4,0.28,0.92,19,73,"INTERFERENCE: High interference from neighboring cell, SINR dropped",Adjusted inter-cell PCI offset from 0 to 3. Recovery: SINR restored from 55% to 87% within 97s.
51,INTERFERENCE,Cell-13,2025-02-25T22:24:00Z,36.0,0.14,0.9,29,118,"INTERFERENCE: High interference from neighboring cell, SINR dropped",Applied inter-cell PCI offset reconfiguration. SINR improved from 55% to 87% in 243s.
52,INTERFERENCE,Cell-28,2025-03-26T05:51:00Z,40.7,0.12,0.77,8,78,"INTERFERENCE: High interference from neighboring cell, SINR dropped","Triggered inter-cell PCI offset optimization. Fault resolved, SINR normalized in 116s."
53,INTERFERENCE,Cell-30,2025-07-27T16:35:00Z,32.7,0.33,0.83,28,84,"INTERFERENCE: High interference from neighboring cell, SINR dropped","Triggered inter-cell PCI offset optimization. Fault resolved, SINR normalized in 230s."
54,INTERFERENCE,Cell-36,2025-09-16T05:47:00Z,38.0,0.33,0.94,13,118,"INTERFERENCE: High interference from neighboring cell, SINR dropped",Applied inter-cell PCI offset reconfiguration. SINR improved from 55% to 87% in 174s.
55,INTERFERENCE,Cell-41,2025-03-05T08:28:00Z,48.5,0.17,0.8,22,30,"INTERFERENCE: High interference from neighboring cell, SINR dropped",Adjusted inter-cell PCI offset from 0 to 3. Recovery: SINR restored from 55% to 87% within 121s.
56,INTERFERENCE,Cell-15,2025-01-07T22:09:00Z,28.6,0.22,0.8,19,73,"INTERFERENCE: High interference from neighboring cell, SINR dropped","Triggered inter-cell PCI offset optimization. Fault resolved, SINR normalized in 158s."
57,INTERFERENCE,Cell-27,2025-05-25T18:44:00Z,54.3,0.33,0.81,5,65,"INTERFERENCE: High interference from neighboring cell, SINR dropped",Adjusted inter-cell PCI offset from 0 to 3. Recovery: SINR restored from 55% to 87% within 159s.
58,INTERFERENCE,Cell-25,2025-05-14T13:34:00Z,49.4,0.34,0.96,20,48,"INTERFERENCE: High interference from neighboring cell, SINR dropped","Triggered inter-cell PCI offset optimization. Fault resolved, SINR normalized in 278s."
59,INTERFERENCE,Cell-32,2025-10-18T12:21:00Z,47.2,0.22,0.75,19,36,"INTERFERENCE: High interference from neighboring cell, SINR dropped","Triggered inter-cell PCI offset optimization. Fault resolved, SINR normalized in 67s."
60,INTERFERENCE,Cell-2,2025-01-09T12:37:00Z,46.5,0.13,0.82,19,43,"INTERFERENCE: High interference from neighboring cell, SINR dropped","Triggered inter-cell PCI offset optimization. Fault resolved, SINR normalized in 292s."
