timestamp,sample_idx,label,fault_active,ho_sr,rsrp,rsrq,sinr,throughput,prb,latency,rrc_sr,rrc_reest,rlf,prach_fail,connected_ues,ul_timing_err,cell_id,run_id,fault_type
2024-01-15T08:00:00,0,NORMAL,0,0.9596,-89.5713,-6.9536,14.339,0.6186,0.2217,14.4419,0.9856,0.0189,0.0122,0.0182,0.7793,0.0361,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.050000,1,NORMAL,0,0.9647,-83.0836,-8.4588,17.2542,0.8301,0.4232,13.8702,0.9885,0.0308,0.0071,0.0103,0.6697,0.042,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.100000,2,NORMAL,0,0.9769,-76.4161,-9.1312,16.5861,0.8375,0.409,10.075,0.9933,0.0157,0.0081,0.0183,0.5195,0.0548,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.150000,3,NORMAL,0,0.9566,-70.8861,-9.9253,20.0783,0.8685,0.4803,12.7539,0.9838,0.0171,0.0124,0.0115,0.567,0.0567,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.200000,4,NORMAL,0,0.9586,-79.7503,-10.8872,16.5513,0.7734,0.437,14.8539,0.9876,0.019,0.0074,0.0176,0.7518,0.0513,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.250000,5,NORMAL,0,0.9612,-79.9643,-10.8904,19.9988,0.8262,0.4604,11.614,0.992,0.0176,0.0109,0.0148,0.6013,0.0559,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.300000,6,NORMAL,0,0.9683,-73.2151,-7.8374,17.8863,0.9711,0.5029,14.1685,0.9856,0.025,0.0096,0.0151,0.6257,0.0492,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.350000,7,NORMAL,0,0.9396,-73.947,-8.977,22.778,0.7815,0.3368,11.8504,0.9798,0.0224,0.0089,0.0198,0.5867,0.0503,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.400000,8,NORMAL,0,0.9541,-71.4925,-6.9623,19.4874,0.7801,0.449,16.813,0.9836,0.0207,0.0047,0.0107,0.6578,0.061,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.450000,9,NORMAL,0,0.9629,-76.1796,-8.8138,16.3957,0.8036,0.3152,15.8428,0.9817,0.0236,0.0042,0.0183,0.7038,0.0538,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.500000,10,NORMAL,0,0.957,-73.7523,-10.3661,17.2417,0.8624,0.4758,12.0455,0.9801,0.0232,0.0081,0.0034,0.7126,0.0498,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.550000,11,NORMAL,0,0.9746,-80.4764,-14.3534,18.8373,0.8033,0.3017,9.0645,0.9988,0.0185,0.0102,0.0117,0.4828,0.0483,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.600000,12,HO_FAILURE,1,0.6969,-86.7804,-8.3002,9.1804,0.16,0.6471,11.8278,0.978,0.206,0.131,0.0183,0.7642,0.0458,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.650000,13,HO_FAILURE,1,0.6445,-86.1146,-7.3853,13.8976,0.4603,0.5425,11.4484,0.9808,0.2174,0.1613,0.019,0.7239,0.0395,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.700000,14,HO_FAILURE,1,0.6745,-82.2015,-11.8226,11.3419,0.5274,0.4839,12.2271,0.9884,0.2659,0.0942,0.0124,0.6051,0.0548,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.750000,15,HO_FAILURE,1,0.796,-83.8982,-5.6369,20.7725,0.5664,0.5363,9.5217,0.9816,0.2102,0.1587,0.0148,0.6618,0.0448,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.800000,16,HO_FAILURE,1,0.794,-92.5241,-9.216,6.2764,0.4601,0.6874,16.1217,0.9807,0.2477,0.1334,0.023,0.6682,0.0564,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.850000,17,HO_FAILURE,1,0.6597,-90.2193,-10.1284,8.5935,0.4441,0.5927,8.9467,0.9799,0.2439,0.1459,0.0092,0.6714,0.0418,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.900000,18,HO_FAILURE,1,0.7639,-82.3905,-10.5438,14.7595,0.558,0.7437,12.9157,0.9879,0.245,0.143,0.0162,0.5468,0.0486,Cell-45,14,HO_FAILURE
2024-01-15T08:00:00.950000,19,HO_FAILURE,1,0.6361,-75.9605,-8.9195,13.6365,0.657,0.5014,11.3831,0.9854,0.2863,0.1389,0.0083,0.6191,0.0543,Cell-45,14,HO_FAILURE
