scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
91,PDCP_DELAY,Cell-35,2025-01-07T13:03:00Z,40.7,0.29,0.84,19,117,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,Adjusted reorder timer t-Reordering from 35ms to 50ms. Recovery: PDCP latency SLA restored from 50% to 91% within 178s.
92,PDCP_DELAY,Cell-18,2025-04-23T04:59:00Z,37.5,0.31,0.74,25,97,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,Applied reorder timer t-Reordering reconfiguration. PDCP latency SLA improved from 50% to 91% in 200s.
93,PDCP_DELAY,Cell-11,2025-02-21T17:00:00Z,36.3,0.17,0.94,8,79,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,"Triggered reorder timer t-Reordering optimization. Fault resolved, PDCP latency SLA normalized in 139s."
94,PDCP_DELAY,Cell-10,2025-08-18T22:18:00Z,48.2,0.22,0.84,20,51,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,"Triggered reorder timer t-Reordering optimization. Fault resolved, PDCP latency SLA normalized in 187s."
95,PDCP_DELAY,Cell-10,2025-07-11T06:58:00Z,40.3,0.36,0.95,13,118,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,"Triggered reorder timer t-Reordering optimization. Fault resolved, PDCP latency SLA normalized in 158s."
96,PDCP_DELAY,Cell-33,2025-08-18T00:18:00Z,31.9,0.28,0.99,20,39,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,"Triggered reorder timer t-Reordering optimization. Fault resolved, PDCP latency SLA normalized in 128s."
97,PDCP_DELAY,Cell-31,2025-10-13T10:35:00Z,35.1,0.38,0.95,27,50,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,"Triggered reorder timer t-Reordering optimization. Fault resolved, PDCP latency SLA normalized in 148s."
98,PDCP_DELAY,Cell-15,2025-11-05T13:02:00Z,49.8,0.31,0.94,17,104,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,Applied reorder timer t-Reordering reconfiguration. PDCP latency SLA improved from 50% to 91% in 279s.
99,PDCP_DELAY,Cell-32,2025-08-01T04:32:00Z,33.3,0.13,0.95,8,87,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,"Triggered reorder timer t-Reordering optimization. Fault resolved, PDCP latency SLA normalized in 69s."
100,PDCP_DELAY,Cell-47,2025-10-23T13:55:00Z,58.8,0.12,0.93,13,63,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,"Triggered reorder timer t-Reordering optimization. Fault resolved, PDCP latency SLA normalized in 96s."
101,PDCP_DELAY,Cell-26,2025-12-25T02:54:00Z,54.1,0.36,0.81,15,100,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,Applied reorder timer t-Reordering reconfiguration. PDCP latency SLA improved from 50% to 91% in 226s.
102,PDCP_DELAY,Cell-32,2025-02-14T17:02:00Z,22.7,0.29,0.97,12,115,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,"Triggered reorder timer t-Reordering optimization. Fault resolved, PDCP latency SLA normalized in 283s."
103,PDCP_DELAY,Cell-7,2025-01-10T20:45:00Z,37.7,0.31,0.96,6,61,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,Adjusted reorder timer t-Reordering from 35ms to 50ms. Recovery: PDCP latency SLA restored from 50% to 91% within 254s.
104,PDCP_DELAY,Cell-23,2025-02-20T13:09:00Z,41.2,0.27,0.93,10,42,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,Adjusted reorder timer t-Reordering from 35ms to 50ms. Recovery: PDCP latency SLA restored from 50% to 91% within 155s.
105,PDCP_DELAY,Cell-25,2025-05-22T21:15:00Z,56.5,0.14,0.83,13,78,PDCP_DELAY: PDCP layer delay spike due to reordering buffer overflow,Applied reorder timer t-Reordering reconfiguration. PDCP latency SLA improved from 50% to 91% in 218s.
