scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
121,TIMING_DRIFT,Cell-9,2025-03-26T18:13:00Z,53.2,0.27,0.87,12,62,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded",Adjusted TA loop gain from 0.5 to 0.25. Recovery: uplink timing sync restored from 62% to 93% within 261s.
122,TIMING_DRIFT,Cell-39,2025-01-05T08:54:00Z,59.5,0.26,0.93,8,104,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded",Adjusted TA loop gain from 0.5 to 0.25. Recovery: uplink timing sync restored from 62% to 93% within 60s.
123,TIMING_DRIFT,Cell-1,2025-02-24T07:37:00Z,20.6,0.18,0.74,18,87,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded",Applied TA loop gain reconfiguration. uplink timing sync improved from 62% to 93% in 151s.
124,TIMING_DRIFT,Cell-5,2025-12-26T14:49:00Z,40.5,0.13,0.85,24,25,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded",Applied TA loop gain reconfiguration. uplink timing sync improved from 62% to 93% in 181s.
125,TIMING_DRIFT,Cell-43,2025-11-04T09:29:00Z,58.6,0.12,0.84,17,74,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded","Triggered TA loop gain optimization. Fault resolved, uplink timing sync normalized in 193s."
126,TIMING_DRIFT,Cell-32,2025-10-18T14:04:00Z,32.9,0.14,0.74,24,101,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded",Adjusted TA loop gain from 0.5 to 0.25. Recovery: uplink timing sync restored from 62% to 93% within 242s.
127,TIMING_DRIFT,Cell-46,2025-02-28T12:38:00Z,31.8,0.25,0.82,30,109,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded","Triggered TA loop gain optimization. Fault resolved, uplink timing sync normalized in 143s."
128,TIMING_DRIFT,Cell-42,2025-07-24T17:46:00Z,37.2,0.37,0.82,19,71,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded",Adjusted TA loop gain from 0.5 to 0.25. Recovery: uplink timing sync restored from 62% to 93% within 226s.
129,TIMING_DRIFT,Cell-7,2025-02-27T13:20:00Z,30.2,0.39,0.9,20,28,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded","Triggered TA loop gain optimization. Fault resolved, uplink timing sync normalized in 140s."
130,TIMING_DRIFT,Cell-6,2025-09-11T13:06:00Z,49.6,0.34,0.86,23,91,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded","Triggered TA loop gain optimization. Fault resolved, uplink timing sync normalized in 83s."
131,TIMING_DRIFT,Cell-43,2025-10-10T13:22:00Z,57.6,0.23,0.97,6,56,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded","Triggered TA loop gain optimization. Fault resolved, uplink timing sync normalized in 91s."
132,TIMING_DRIFT,Cell-23,2025-06-04T18:32:00Z,26.2,0.24,0.95,16,91,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded",Adjusted TA loop gain from 0.5 to 0.25. Recovery: uplink timing sync restored from 62% to 93% within 86s.
133,TIMING_DRIFT,Cell-49,2025-11-18T18:14:00Z,53.8,0.39,0.94,24,106,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded",Applied TA loop gain reconfiguration. uplink timing sync improved from 62% to 93% in 131s.
134,TIMING_DRIFT,Cell-2,2025-06-01T21:53:00Z,30.7,0.15,0.9,14,63,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded","Triggered TA loop gain optimization. Fault resolved, uplink timing sync normalized in 215s."
135,TIMING_DRIFT,Cell-12,2025-12-17T04:36:00Z,36.0,0.14,0.88,5,31,"TIMING_DRIFT: Timing advance drift detected, uplink sync degraded","Triggered TA loop gain optimization. Fault resolved, uplink timing sync normalized in 282s."
