scenario_id,fault_type,cell_id,timestamp,throughput_drop_pct,ho_success_rate_drop,prb_utilization,rrc_retries,latency_increase_ms,root_cause,resolution
106,UE_DETACH,Cell-1,2025-05-21T14:57:00Z,47.1,0.15,0.83,16,95,"UE_DETACH: Mass UE detachment event, MME overload suspected",Applied paging load threshold reconfiguration. UE attachment rate improved from 45% to 95% in 290s.
107,UE_DETACH,Cell-28,2025-10-12T08:29:00Z,28.0,0.22,0.84,12,68,"UE_DETACH: Mass UE detachment event, MME overload suspected",Applied paging load threshold reconfiguration. UE attachment rate improved from 45% to 95% in 236s.
108,UE_DETACH,Cell-37,2025-12-02T22:18:00Z,59.1,0.3,0.78,23,107,"UE_DETACH: Mass UE detachment event, MME overload suspected",Adjusted paging load threshold from 80% to 60%. Recovery: UE attachment rate restored from 45% to 95% within 135s.
109,UE_DETACH,Cell-39,2025-04-20T15:53:00Z,51.0,0.17,0.93,12,101,"UE_DETACH: Mass UE detachment event, MME overload suspected",Applied paging load threshold reconfiguration. UE attachment rate improved from 45% to 95% in 250s.
110,UE_DETACH,Cell-17,2025-01-10T23:49:00Z,47.2,0.14,0.73,25,102,"UE_DETACH: Mass UE detachment event, MME overload suspected","Triggered paging load threshold optimization. Fault resolved, UE attachment rate normalized in 233s."
111,UE_DETACH,Cell-29,2025-04-05T18:23:00Z,25.3,0.37,0.79,18,42,"UE_DETACH: Mass UE detachment event, MME overload suspected","Triggered paging load threshold optimization. Fault resolved, UE attachment rate normalized in 68s."
112,UE_DETACH,Cell-35,2025-12-28T11:33:00Z,56.5,0.35,0.77,20,57,"UE_DETACH: Mass UE detachment event, MME overload suspected","Triggered paging load threshold optimization. Fault resolved, UE attachment rate normalized in 284s."
113,UE_DETACH,Cell-22,2025-07-28T03:29:00Z,25.6,0.39,0.95,28,106,"UE_DETACH: Mass UE detachment event, MME overload suspected",Adjusted paging load threshold from 80% to 60%. Recovery: UE attachment rate restored from 45% to 95% within 265s.
114,UE_DETACH,Cell-36,2025-11-09T02:50:00Z,20.6,0.26,0.83,26,115,"UE_DETACH: Mass UE detachment event, MME overload suspected",Applied paging load threshold reconfiguration. UE attachment rate improved from 45% to 95% in 153s.
115,UE_DETACH,Cell-38,2025-10-08T20:23:00Z,47.0,0.24,0.88,22,61,"UE_DETACH: Mass UE detachment event, MME overload suspected",Adjusted paging load threshold from 80% to 60%. Recovery: UE attachment rate restored from 45% to 95% within 157s.
116,UE_DETACH,Cell-42,2025-01-10T20:52:00Z,56.4,0.19,0.82,9,25,"UE_DETACH: Mass UE detachment event, MME overload suspected",Applied paging load threshold reconfiguration. UE attachment rate improved from 45% to 95% in 76s.
117,UE_DETACH,Cell-32,2025-09-14T03:15:00Z,25.4,0.24,0.89,28,109,"UE_DETACH: Mass UE detachment event, MME overload suspected","Triggered paging load threshold optimization. Fault resolved, UE attachment rate normalized in 89s."
118,UE_DETACH,Cell-38,2025-12-12T23:09:00Z,46.2,0.35,0.88,13,24,"UE_DETACH: Mass UE detachment event, MME overload suspected",Applied paging load threshold reconfiguration. UE attachment rate improved from 45% to 95% in 250s.
119,UE_DETACH,Cell-14,2025-01-13T14:15:00Z,24.0,0.31,0.86,25,65,"UE_DETACH: Mass UE detachment event, MME overload suspected",Applied paging load threshold reconfiguration. UE attachment rate improved from 45% to 95% in 173s.
120,UE_DETACH,Cell-18,2025-06-08T03:54:00Z,23.7,0.16,0.89,5,26,"UE_DETACH: Mass UE detachment event, MME overload suspected",Applied paging load threshold reconfiguration. UE attachment rate improved from 45% to 95% in 108s.
